poiName,count,rating,uniqueCars,avgDistance,poiLocationLat,poiLocationLon,latitudesOfSearcher,longitudesOfSearcher,clickTimes
서울특별시청,3,4,1,6.78,37.566667003557086,126.97836787439883,"37.5174764,37.5174764,37.5182719","126.929144,126.929144,126.9398455",1623228407526
서울법원서울중앙지방법원,3,4,1,7.65,37.49604661948979,127.01153548434377,"37.5174764,37.5174764,37.5174764","126.929144,126.929144,126.929144",1623228833130
Noodles Tree Restaurant Unseo Neopdi Branch,3,4,1,2.64,37.48324711807072,126.51071459054947,"37.4936143,37.4936143,37.4932155","126.4835493,126.4835493,126.483915",1623208713167
황해해물칼국수 2호점,2,3,1,38.48,37.42621379904449,126.42122930847108,"37.5553221,37.5687475","126.9739543,126.6567522",1623201920550
홍제2동,2,3,1,4.17,37.58711490780115,126.94905292242765,"37.5552284,37.5552284","126.9740393,126.9740393",1623214002366
팔당초계국수 본점,2,3,1,19.06,37.54111452028155,127.25472307763994,"37.5289645,37.5277941","127.0360871,127.0422907",1623205450640
전주역 KTX,2,3,1,190.6,35.85046302527189,127.16204001568258,"37.5584131,37.5584251","126.9812677,126.9812908",1623201153644
,2,3,1,0.41,35.20712890662253,129.08845231868327,"35.203326,35.2037023","129.090473,129.0896167",1623225554509
오산역,2,3,1,46.49,37.14473281055689,127.06664473749697,"37.5551568,37.5584251","126.9739222,126.9812908",1623201070625
영일대해수욕장,2,3,1,102.98,36.059943130239844,129.38014858402312,"35.1745212,35.1566783","129.1252517,129.0471371",1623207279980
양양국제공항,2,3,1,160.7,38.059779815375805,128.6645839177072,"37.498089,37.5174764","127.0204128,126.929144",1623203689742
Noodles Tree Restaurant Unseo Sindosi Branch,2,3,1,0.48,37.49266502447426,126.48884922266006,"37.4936143,37.4936143","126.4835493,126.4835493",1623208703318
서울스퀘어주차장,2,3,1,51.23,37.55563407205045,126.97389889508486,"37.4392881,37.426417","126.4075301,126.4211657",1623206404744
Yujeong Jip,2,3,1,21.99,37.49621266499162,126.50082419626415,"37.4826958,37.5560841","126.5108887,126.9737632",1623210802453
목동역 서울5호선,2,3,1,8.07,37.52611493691802,126.86481387354434,"37.54712,37.5457247","126.9532011,126.9522236",1623219030226
진상미,1,2,1,4.08,35.17771882005036,129.0810210071504,35.1774858,129.1259489,1623207484801
예약한.들었다.방송사,1,2,1,4.17,37.587120020762086,126.94905702956021,37.5552284,126.9740393,1623214341096
예약한.방송사.들었다,1,2,1,807.44,34.88304496742785,118.60033798031509,37.5552284,126.9740393,1623214065977
구미확장단지우미린풀하우스,1,2,1,126.39,36.16323667578399,128.43676060438156,35.17448,129.1270165,1623197523469
월포해수욕장캠핑장,1,2,1,112.22,36.20533822104335,129.37158185988665,35.217117,129.1195212,1623197749428
웨스틴조선호텔 부산,1,2,1,329.62,35.15603198669851,129.1540910024196,37.5174679,126.9291532,1623207403196
라마다호텔 강원속초,1,2,1,158.61,38.17424266599119,128.61013230867684,37.4960286,127.0211984,1623203751066
동인천역 서울1호선 5번출구,1,2,1,19.93,37.47493067756295,126.63136546500027,37.5590734,126.8308692,1623208511989
여수시청,1,2,1,179,34.76040196605027,127.66230820678174,36.354506,127.3867519,1623204044180
진상미미,1,2,1,6.63,35.15804816968739,129.05696268193424,35.1774894,129.1259451,1623207501351
천문대오토캠핑장,1,2,1,13.89,35.275160036981106,128.8869755063206,35.2845678,129.0395084,1623198287192
천하명당,1,2,1,5.66,35.14003587886691,129.06304853037,35.1424527,129.1252781,1623226681398
대구스타디움,1,2,1,131.1,35.82959929481149,128.69015836156905,36.3577106,127.3856023,1623204100162
평택복합휴게소 제천방향,1,2,1,85.85,37.04476612620056,126.94460003636777,36.357711,127.3839074,1623204315935
한국교통안전공단 상주교통안전체험교육센터,1,2,1,156.29,36.321408888325095,128.1244160234928,35.1748105,129.1261903,1623228423364
남대문로 30,1,2,1,0.79,37.56104391999543,126.97918888181448,37.5552284,126.9740393,1623213942054
남군포TG,1,2,1,21.23,37.32656487263739,126.92868020385504,37.5174764,126.929144,1623225394977
세웅병원,1,2,1,1.28,35.214487463235855,129.10410770215094,35.2164257,129.1179964,1623218861807
고려당,1,2,1,40.84,35.22458631545305,128.68165793828666,35.1746636,129.1269776,1623224953638
샤넬 현대백화점무역센터점,1,2,1,2.83,37.508645709604025,127.05977627076209,37.5281802,127.0392168,1623205533015
샤넬부티크 롯데백화점잠실점,1,2,1,5.25,37.51118877902627,127.09806790575385,37.5277941,127.0422907,1623205831825
거제센트럴자이아파트,1,2,1,7.1,35.19315551966429,129.07644758932292,35.1449124,129.1276428,1623226652824
빅쭌부대찌개,1,2,1,73.01,36.91193743608892,127.14265057817101,37.5545282,126.9734453,1623199392387
광주광역시청,1,2,1,152.76,35.15999050810933,126.85136619955301,35.2836311,128.5262727,1623204162166
서울역 KTX,1,2,1,138.64,37.5544314365834,126.97067907080054,36.3524158,127.3852728,1623203961179
배떡 홍제점,1,2,1,4.2,37.58588695898652,126.94615378975868,37.5552284,126.9740393,1623214123484
마곡역 서울5호선,1,2,1,0.51,37.55987900309265,126.82517426088452,37.5587623,126.8308128,1623208000400
센텀그린타워,1,2,1,76.47,35.17461558803916,129.12696867249906,35.859008,129.2103131,1623220869946
Incheon International Airport Passenger Terminal 1,1,2,1,47.6,37.449423875659704,126.4508200250566,37.5544806,126.9739514,1623203726004
스타벅스 서울웨이브아트센터점,1,2,1,21.31,37.519321320578456,127.00791969895363,37.5444618,127.2475489,1623212721626
스타필드시티 명지점,1,2,1,19.34,35.09321196936071,128.91835156828165,35.1401542,129.1230513,1623226702997
Deungchon Shabu Kalguksu,1,2,1,0.53,37.49371041543782,126.48951357230544,37.4936143,126.4835493,1623208753357
맥도날드 당감DT점,1,2,1,1.27,35.16572071239352,129.0395025908947,35.1570166,129.0485254,1623209433527
상암동,1,2,1,7.3,37.57664993405342,126.89574988558888,37.5552284,126.9740393,1623214186925
