poiName,count,rating,uniqueCars,avgDistance,poiLocationLat,poiLocationLon,latitudesOfSearcher,longitudesOfSearcher,clickTimes
부산역 KTX,25,27,2,326.6,35.115155121311545,129.04136513359845,"37.5067356,37.5584251,37.5061944,37.5584184,37.5174762,37.5188552,37.5247771,37.5174764,37.5197415,37.5372629,37.5210254,37.5176857,37.5176819,37.5204981,37.5047812,37.5584184,37.5216674,37.5553702,37.5551568,37.5551568,37.5174764,37.5204412,37.5199741,37.5199741,37.517795","126.9725572,126.9812908,126.9900841,126.9812751,126.9291438,126.9312289,126.9414265,126.929144,126.932659,127.0047103,126.9348548,126.9365737,126.9378894,126.9339282,126.9779082,126.9812751,126.935798,127.1763709,126.9739222,126.9739222,126.929144,126.9408126,126.9409415,126.9409415,126.93722",1623199932898
경포해수욕장,18,19,1,177.03,37.806458501145244,128.90694547444582,"37.5174874,37.5175038,37.5174679,37.5174679,37.5174679,37.5174679,37.5174679,37.5174679,37.5174679,37.5174679,37.5174908,37.5174679,37.5174679,37.5174679,37.5174679,37.5174679,37.5174679,37.5174679","126.9291791,126.9291572,126.9291532,126.9291532,126.9291532,126.9291532,126.9291532,126.9291532,126.9291532,126.9291532,126.9291784,126.9291532,126.9291532,126.9291532,126.9291532,126.9291532,126.9291532,126.9291532",1623201406879
서울스퀘어,14,19,5,52.52,37.55557003431022,126.97375556454062,"37.5174764,37.5048714,35.2719481,37.5174764,37.3810938,37.5174764,37.5174764,37.5174764,37.5182018,37.5174764,37.5174764,37.5174764,37.5174764,35.1748105","126.929144,127.0117488,128.9685097,126.929144,126.6620682,126.929144,126.929144,126.929144,127.0094032,126.929144,126.929144,126.929144,126.929144,129.1261903",1623199871273
수원역,6,7,1,28.59,37.266517924144864,126.9995372928679,"37.5175074,37.5175074,37.5175074,37.5175074,37.5175074,37.5175074","126.9291554,126.9291554,126.9291554,126.9291554,126.9291554,126.9291554",1623203317068
샛강역3번출구,6,7,1,0.01,37.517391638830304,126.92918613553047,"37.5174679,37.5174679,37.5174679,37.5174679,37.5174679,37.5174679","126.9291532,126.9291532,126.9291532,126.9291532,126.9291532,126.9291532",1623207343594
스타필드하남,5,8,3,52.92,37.5454137660563,127.22369058988988,"36.353422,37.5174679,37.5174764,37.5174679,37.3810858","127.3850986,126.9291532,126.929144,126.9291532,126.6620641",1623203996515
롯데프리미엄아울렛 파주점,4,5,1,30.55,37.71845840848982,126.69262217357755,"37.5174764,37.5174764,37.5174764,37.5174764","126.929144,126.929144,126.929144,126.929144",1623225668772
63빌딩,3,4,1,28.99,37.519828425720334,126.9402520917356,"37.381229,37.3811795,37.3811951","126.6622391,126.6621546,126.6620982",1623218551355
인천국제공항제1여객터미널,3,4,1,45.57,37.449423875659704,126.4508200250566,"37.5234373,37.5174764,37.5048691","126.9388711,126.929144,127.0128806",1623201554007
스타벅스 경주터미널DT점,3,5,2,4479.23,35.838210275396705,129.20328145846725,"35.859008,35.840182,","129.2103131,129.2047059,",1623220892475
