poiName,count,rating,uniqueCars,avgDistance,poiLocationLat,poiLocationLon,latitudesOfSearcher,longitudesOfSearcher,clickTimes
서울스퀘어,33,39,6,64.16,37.55557003431022,126.97375556454062,"37.5174764,37.5174764,37.5174764,37.605178,37.5174764,37.546911,37.5175074,37.5565178,37.5178019,37.5174764,37.5186423,37.5174764,37.5554395,37.5554395,37.5174764,37.5174764,37.5174764,37.8664591,35.5942015,37.5134905,35.17448,37.5174764,37.5174764,37.7068187,37.5174764,37.5174762,35.1705164,35.1689293,35.1713878,35.8312149,37.514002,37.4269602,37.3873592","126.929144,126.929144,126.929144,126.8203379,126.929144,126.9722365,126.9291554,126.9728587,126.9372619,126.929144,126.9308869,126.929144,126.9377775,126.9377775,126.929144,126.929144,126.929144,126.7649443,129.1384295,127.0997763,129.1270165,126.929144,126.929144,126.7586324,126.929144,126.9291438,129.1367074,129.1386196,129.141121,129.1082159,127.1026355,127.0923988,127.1127165",1623029383201
홍대입구역 서울2호선,10,11,1,4.99,37.5568369589746,126.92374762147665,"37.5520436,37.5516841,37.541879,37.5377848,37.5349955,37.5375102,37.5381442,37.5386435,37.5346846,37.5391473","126.9798052,126.9812262,126.9873091,126.986709,126.9859497,126.9680623,126.965741,126.9638406,126.9781123,126.9619422",1623046649825
웨스틴조선호텔 부산,10,11,1,329.62,35.15603198669851,129.1540910024196,"37.5174683,37.5174899,37.5174839,37.5175032,37.5174685,37.517504,37.5174683,37.5174685,37.5175037,37.5175009","126.9291607,126.9291349,126.9291793,126.9291641,126.9291622,126.9291543,126.9291603,126.9291519,126.9291617,126.9291695",1623025214507
경포해수욕장,6,7,1,177.03,37.806458501145244,128.90694547444582,"37.5174814,37.5174962,37.5175037,37.5175017,37.5175002,37.5174707","126.9291349,126.9291381,126.9291529,126.9291678,126.9291706,126.9291688",1623045534341
임진각,5,6,1,43,37.891123266890645,126.74054687842727,"37.5468848,37.5469259,37.5503588,37.5551973,37.5551973","126.9721582,126.9721843,126.972167,126.9741485,126.9741485",1623022333063
대전역 KTX,5,6,1,136.13,36.33231282234192,127.4341759365052,"37.4379119,37.5187167,37.5173388,37.518114,37.5214236","127.076566,126.9310056,126.933954,126.9392247,127.0628727",1623036556292
롯데월드,5,6,1,11.07,37.51109833829105,127.09817972034216,"37.5602851,37.5748522,37.5962234,37.5467548,37.4263143","126.9398718,126.970265,127.0406226,127.0346236,127.0938705",1623046831613
연어예찬,3,5,2,44.59,37.06789422780275,127.06295292824507,"37.5553893,37.540697,37.540697","126.9739271,126.9716962,126.9716962",1623050403682
용산역,3,4,1,2.84,37.5297387689352,126.96425769478083,"37.5521347,37.5546246,37.5563171","126.9725241,126.9730789,126.9724434",1623045817036
용산역 대구2호선,3,4,1,233.99,35.84906400181353,128.52871410548687,"37.541879,37.5541975,37.5493845","126.9873091,126.9727685,126.9818673",1623046359133
성수 서비스센터,3,4,1,7.91,37.537983041256666,127.06137092784047,"37.540697,37.540697,37.540697","126.9716962,126.9716962,126.9716962",1623044889682
서울스퀘어주차장,3,4,1,1.11,37.55563449114561,126.97389931418002,"37.5468695,37.5419014,37.5486402","126.9722006,126.9723378,126.9719111",1623021405708
파주스타디움,3,4,1,29.4,37.75615610182285,126.78553523495793,"37.5175074,37.5175074,37.5175074","126.9291554,126.9291554,126.9291554",1623048673352
구로역 서울1호선,3,4,1,10.22,37.50310284085572,126.8820081744343,"37.5546467,37.5538333,37.5538333","126.9777833,126.9787349,126.9787349",1623046485150
문화비축기지,2,3,1,6.72,37.5710972584784,126.89404517412186,"37.5174679,37.5174701","126.9291558,126.9291458",1623058119249
파라다이스호텔 부산,2,3,1,329.85,35.16023559495807,129.16526416316628,"37.517469,37.5174689","126.9291641,126.9291639",1623025637070
아눅,2,3,1,65.42,35.8769113663584,128.62968167290092,"35.5359323,35.17448","128.7934947,129.1270165",1623031597289
부산역 KTX,2,3,1,327.27,35.115155121311545,129.04136513359845,"37.540697,37.540697","126.9716962,126.9716962",1623046376903
홍대입구역 공항철도,2,3,1,1.36,37.55753852427006,126.92688253708184,"37.5476766,37.5543825","126.9424432,126.936974",1623053804664
북악산,2,3,1,4.94,37.59311752393842,126.97356319986284,"37.5756047,37.526165","126.9690586,126.9440625",1623045589761
낙산해수욕장,2,3,1,163.99,38.11539676040411,128.63581689074636,"37.5175074,37.5175074","126.9291554,126.9291554",1623031116222
서정리역,2,3,1,54.31,37.05652610398829,127.05285768024623,"37.540697,37.540697","126.9716962,126.9716962",1623050275875
고양휴게소 파주방향,2,3,1,14.31,37.630770709365606,126.85201613232493,"37.5175074,37.5175074","126.9291554,126.9291554",1623048773449
숭례문,2,3,1,3.38,37.55998553708196,126.97529121302068,"37.5175015,37.555911","126.929175,126.9724479",1623044428368
속초해수욕장,1,2,1,164.99,38.189668133854866,128.6045597679913,37.517489,126.9291347,1623031728042
현대프리미엄아울렛 송도점,1,2,1,28.32,37.3815494030714,126.65778581053019,37.5174905,126.929136,1623043038124
웨스틴조선호텔 서울,1,2,1,6.89,37.56450212560594,126.98011877015233,37.5174688,126.9291635,1623025399466
웨스틴조선호텔부산주차장,1,2,1,329.57,35.15640238299966,129.15378347039223,37.5175025,126.9291664,1623025222272
웨스틴조선호텔서울주차장,1,2,1,6.86,37.56460941396654,126.9792846031487,37.5174706,126.9291686,1623025392893
웰리힐리파크리조트스키장,1,2,1,116.23,37.48602773062885,128.24611698277295,37.5174897,126.9291348,1623031885212
한옥명가,1,2,1,185.99,35.81213442608714,127.15311848558486,35.2840851,129.1038103,1623028549109
인천국제공항제1여객터미널,1,2,1,47.06,37.449423875659704,126.4508200250566,37.540697,126.9716962,1623046417042
자산시티빌아파트  일반아파트  ★ 4.5/5,1,2,1,295.74,35.2045813947916,128.56000416912138,37.5175062,126.9291539,1623058785307
천안역,1,2,1,83.63,36.80955349467695,127.14705149643123,37.5486383,126.9719104,1623022681476
쿄우다이짱짱,1,2,1,61.09,37.00278687290847,127.1118769235909,37.540697,126.9716962,1623053930256
부평역 서울1호선,1,2,1,18.33,37.48948719352484,126.72441850416362,37.5175074,126.9291554,1623031928107
Seoul Square,1,2,1,2.14,37.55557003431022,126.97375556454062,37.5364337,126.9764843,1623048701143
경쟁.갠다.공장,1,2,1,0.04,37.55569500848651,126.97420097887516,37.5553893,126.9739271,1623030022658
고덕역 서울5호선,1,2,1,15.88,37.55502697080374,127.15413839556277,37.5553456,126.9740485,1623030653826
광주은행 여의도지점,1,2,1,0,37.524069333449006,126.9260414969176,,,1623027282357
김포국제공항국제선청사,1,2,1,15.33,37.565699899569154,126.80072248913348,37.540697,126.9716962,1623048508922
라마다호텔 강원속초,1,2,1,159.82,38.17424266599119,128.61013230867684,37.5468241,126.9722272,1623022231354
바루스프로젝트,1,2,1,4.53,37.572353621944785,126.98244298808277,37.553063,126.9371931,1623053986984
벤츠상용차서비스센터 전주서비스센터 벤츠서비스센터  ★ 4.5/5,1,2,1,188.95,35.823760628700256,127.03207986429334,37.5220633,126.9599389,1623059030719
신기숲,1,2,1,11.66,35.086882626637816,129.0603163652122,35.1781269,129.1233911,1623031654323
서피비치,1,2,1,161.95,38.02774937823415,128.7175315618515,37.5553395,126.9741049,1623053470531
성산 서비스센터-인증중고차 성산 전시장,1,2,1,0.16,37.56443792022765,126.90493787638843,37.5643038,126.9067072,1623029448676
센텀그린타워,1,2,1,327.45,35.17461558803916,129.12696867249906,37.5553395,126.9741049,1623053598772
CGV 용산아이파크몰점,1,2,1,7.8,37.52930760383606,126.96526369079947,37.5623342,126.8872309,1623046211820
속초해수욕장무료1주차장,1,2,1,164.84,38.1910012755543,128.60175803303719,37.5174797,126.9291358,1623024635224
스타벅스 나주혁신DT점  ★ 4.5/5,1,2,1,278.31,35.02126372419298,126.80299373343587,37.5218479,126.936087,1623058839344
스타벅스 샛강역점  ★ 4.5/5,1,2,1,0.14,37.51818850636482,126.93135436624289,37.5193077,126.931969,1623058811815
스타벅스 서울역동자동점,1,2,1,0.42,37.55167596973479,126.9728088285774,37.5553893,126.9739271,1623029940515
