poiName,count,rating,uniqueCars,avgDistance,poiLocationLat,poiLocationLon,latitudesOfSearcher,longitudesOfSearcher,clickTimes
경포해수욕장,25,27,2,174.14,37.806458501145244,128.90694547444582,"37.5551979,37.5583429,37.5583429,37.5583409,37.558354,37.5174884,37.5174874,37.5175013,37.517499,37.5583771,37.5174679,37.5174679,37.5174679,37.5551979,37.5551979,37.5583596,37.5583429,37.5174999,37.5583771,37.5583874,37.5583923,37.5551988,37.5174779,37.5174715,37.5174679","126.9739994,126.981452,126.981452,126.981422,126.9813957,126.9291788,126.9291339,126.9291452,126.9291717,126.9817319,126.9291532,126.9291532,126.9291532,126.9739994,126.9739994,126.9814477,126.981452,126.9291704,126.9817319,126.9815792,126.9815649,126.9739564,126.929136,126.9291424,126.9291532",1623287173562
부산역 KTX,15,17,2,322.88,35.115155121311545,129.04136513359845,"37.5553515,37.5229261,37.5321806,37.5403878,37.5348601,37.5335025,37.5393952,37.5185008,37.5163718,37.3782773,37.5267191,37.5403878,37.5284232,37.5434872,37.5580198","126.9740703,126.9379385,127.0132247,127.0195569,127.0538604,127.0586967,127.1019084,126.9314645,126.9281709,127.1030983,127.0051521,127.0195569,127.0887172,127.1070476,127.1143667",1623287414363
스타필드안성,7,9,2,150.11,36.99462256394327,127.14735249057412,"35.1974759,35.2692057,37.5551988,35.2059193,37.5583501,37.5583501,37.5551988","129.1153293,129.1075316,126.9739564,129.1205871,126.9813883,126.9813883,126.9739564",1623291531559
더현대서울,7,9,2,183.37,37.525664158165455,126.92872806452215,"35.2644973,35.2879141,37.5551988,35.17448,37.5551988,37.5551988,35.4678418","129.1057213,129.099029,126.9739564,129.1270165,126.9739564,126.9739564,129.2213454",1623291241446
서울스퀘어,6,10,4,6.71,37.55557003431022,126.97375556454062,"37.5174764,37.5480933,37.5599456,37.5605345,37.5174878,37.368083","126.929144,127.0106168,126.9804913,126.9807835,126.929134,127.1031407",1623288324187
스타필드하남,5,7,2,192.38,37.5454137660563,127.22369058988988,"35.2620307,37.5551988,35.2038556,35.2847128,37.5551988","129.1041927,126.9739564,129.1191704,129.1034013,126.9739564",1623291607961
경기광주TG,5,6,1,17.51,37.446333887055516,127.26614082232118,"37.5553222,37.5553222,37.5676099,37.5149147,37.4959806","126.9740977,126.9740977,127.169838,127.2228825,127.2357077",1623286966554
대전역 KTX,5,6,1,137.17,36.33231282234192,127.4341759365052,"37.5507465,37.5159761,37.5056566,37.498188,37.5049262","127.1113829,126.9406837,126.9715591,126.9929547,126.9840121",1623301731247
서울특별시청,4,5,1,6.78,37.566667003557086,126.97836787439883,"37.5174762,37.5222253,37.533809,37.5225636","126.9291438,126.9367576,127.0577993,126.9373124",1623289762947
중구청,4,5,1,320.87,37.5637770909816,126.99755581095815,"35.1816951,35.1876517,35.2665137,35.2907149","129.1194952,129.1170326,129.1065258,129.0936231",1623291390120
