poiName,count,rating,uniqueCars,avgDistance,poiLocationLat,poiLocationLon,latitudesOfSearcher,longitudesOfSearcher,clickTimes
집,6,8,2,8.93,37.583152363076806,126.90824336372316,"37.5557824,37.5558817,37.5556763,37.5552379,35.0534132,35.1602407","126.973882,126.9748039,126.9747525,126.9750805,128.9707369,129.0354669",1623373762377
양양국제공항,5,6,1,163.63,38.059779815375805,128.6645839177072,"37.5174764,37.5164682,37.5174764,37.5189893,37.5161838","126.929144,126.9398901,126.929144,126.9315616,126.9383836",1623373615376
춘천시청,5,6,1,80.87,37.881255839020014,127.72998771630228,"37.5174764,37.5174764,37.5141646,37.5174764,37.5174764","126.929144,126.929144,126.9563471,126.929144,126.929144",1623375803021
경포대,4,5,1,175.93,37.795071601867676,128.89665316790342,"37.5174679,37.5174679,37.5174679,37.5174679","126.9291532,126.9291532,126.9291532,126.9291532",1623370983191
구미역,4,5,1,198.41,36.128357481211424,128.33084369078279,"37.5174764,37.5174764,37.5174764,37.5159901","126.929144,126.929144,126.929144,126.9374092",1623373507530
김해국제공항,4,5,1,16.87,35.17478188499808,128.93989850766957,"35.1748105,35.1748105,35.1748105,35.1778798","129.1261903,129.1261903,129.1261903,129.1235687",1623399275764
Seoul Station KTX,3,4,1,5.5,37.5544314365834,126.97067907080054,"37.5174779,37.5174779,37.5174779","126.9291776,126.9291776,126.9291776",1623392581542
서울스퀘어,3,5,2,21.72,37.55557003431022,126.97375556454062,"37.8961915,37.5973258,37.6011355","127.2019473,126.7856394,126.9788392",1623386251133
롯데월드,2,3,1,14.93,37.51109833829105,127.09817972034216,"37.5174764,37.5174764","126.929144,126.929144",1623373642537
스타필드하남,2,3,1,26.12,37.5454137660563,127.22369058988988,"37.5174764,37.5180301","126.929144,126.9299301",1623373823821
원가네 본점,2,3,1,1.82,35.18120317719877,129.04627550393343,"35.1507169,35.1809146","129.0578756,129.0471919",1623378320427
부산역 KTX,2,4,2,328.47,35.115155121311545,129.04136513359845,"37.5551988,37.5553062","126.9739564,126.9741449",1623372048006
직장,2,3,1,3.33,37.55578243173659,126.97388187982142,"37.5551644,37.5833942","126.975006,126.9082568",1623376413711
장재마을경로당,1,2,1,86.27,36.78757362999022,127.1114863269031,37.5556241,126.9738586,1623399292178
자산시티빌아파트  일반아파트  ★ 4.5/5,1,2,1,295.74,35.2045813947916,128.56000416912138,37.5174805,126.9291789,1623397864087
인천광역시청,1,2,1,26.16,37.456075670197606,126.70523551292717,37.5553062,126.9741449,1623391815725
서울스퀘어주차장,1,2,1,17.23,37.55563449114561,126.97389931418002,37.5973258,126.7856394,1623389338031
익산역 KTX,1,2,1,174.63,35.94116250984371,126.94603501819074,37.5115569,126.962028,1623375869459
이젠의료정보컨설팅서비스  N  ★ 4.5/5,1,2,1,184.74,35.8177057094872,127.10546971298754,37.4779846,127.0279293,1623398838129
위원.물어본.한창,1,2,1,0.09,37.5447800103575,126.96981296874583,37.5445868,126.9708092,1623378132351
팔각정,1,2,1,42.67,37.55165979266167,126.98764890432358,37.8951646,127.2040126,1623386352124
팔각정공원,1,2,1,8.22,37.60206688195467,126.98047030717134,37.5326717,127.0127373,1623390281716
현대프리미엄아울렛 김포점,1,2,1,17.23,37.598458640277386,126.78578711114824,37.5559102,126.9738417,1623381096996
에코델타,1,2,1,3.86,35.109735298901796,128.8799233082682,35.0891544,128.9140636,1623391001067
수원화성행궁,1,2,1,26.84,37.28188036009669,127.01375559903681,37.5154326,126.9368745,1623374201953
서울역 KTX,1,2,1,326.64,37.5544314365834,126.97067907080054,35.1811818,129.1210094,1623408780715
Green Building Yeomnosang Public Parking Lot,1,2,1,6.02,37.55657929927111,126.97638689540327,37.5174779,126.9291776,1623392743240
분당 서현 전시장,1,2,1,23.72,37.38058892078698,127.13527693413198,37.5174764,126.929144,1623373765757
부산북부운전면허시험장,1,2,1,9.29,35.177091183140874,128.98310403339565,35.096671,128.9555952,1623384052572
벤츠상용차서비스센터 연천서비스센터 벤츠서비스센터  ★ 4.5/5,1,2,1,54.27,37.96812739223242,127.00739507563412,37.4803441,127.0270192,1623398793813
몰운대,1,2,1,17.46,35.03782929852605,128.97061793133616,35.1804597,129.0509796,1623382310955
롯데아울렛 고양점,1,2,1,12.8,37.629649210721254,126.86316263861954,37.5551978,126.9739542,1623370524492
대구광역시청,1,2,1,91.27,35.87140780873597,128.6018463782966,35.1727238,129.131226,1623399370067
그릴5타코,1,2,1,92.06,35.85823656991124,128.62406630069017,35.1255629,129.0976983,1623381299180
고양휴게소 파주방향,1,2,1,13.64,37.630770709365606,126.85201613232493,37.5551978,126.9739542,1623370470024
경주시청,1,2,1,79.62,35.856219716370106,129.2247484344989,35.1583018,129.0282512,1623389752971
Namdaemun Pihyeoksangganamcheuk Public Parking Lot,1,2,1,6.02,37.558897817507386,126.97318668477237,37.5174779,126.9291776,1623392782384
