poiName,count,rating,uniqueCars,avgDistance,poiLocationLat,poiLocationLon,latitudesOfSearcher,longitudesOfSearcher,clickTimes
부산역 KTX,9,11,2,328.52,35.115155121311545,129.04136513359845,",,,,37.5557833,37.5557833,37.5557833,37.5557833,37.5557833",",,,,126.9741619,126.9741619,126.9741619,126.9741619,126.9741619",1623719966949
부산역KTX,7,8,1,0,35.115155121311545,129.04136513359845,",,,,,,",",,,,,,",1623716348654
서정리역,6,7,1,55.95,37.05652610398829,127.05285768024623,"37.5557833,37.5557833,37.5557833,37.5557833,37.5557833,37.5557833","126.9741619,126.9741619,126.9741619,126.9741619,126.9741619,126.9741619",1623723154476
광주송정역 KTX,2,3,1,269.39,35.13761568814516,126.79068951867521,"37.5557833,37.5557833","126.9741619,126.9741619",1623719778342
수원역,2,3,1,32.24,37.26651784032583,126.99953720904887,"37.5557833,37.5557833","126.9741619,126.9741619",1623724523084
삼천포여자고등학교,1,2,1,50.2,34.934569699689746,128.07805320248008,35.2722216,128.444424,1623724398280
송탄한일아파트,1,2,1,53.03,37.08415319211781,127.0630304608494,37.5557833,126.9741619,1623725530006
스위트40,1,2,1,149.9,35.15701577067375,126.90784371457994,35.1908981,128.5565788,1623724009153
어바웃9홍대입구 본점,1,2,1,4.49,37.55342091433704,126.92336800508201,37.5557833,126.9741619,1623724552984
오시우연,1,2,1,62.67,35.45540280640125,128.5280708782375,35.1746636,129.1269776,1623719657066
인천국제공항제1여객터미널,1,2,1,47.66,37.449423875659704,126.4508200250566,37.5557833,126.9741619,1623724092492
잠실종합운동장잠실야구장,1,2,1,9.88,37.512107687070966,127.07179700955749,37.5557833,126.9741619,1623724707203
지진옥외대피소 돌모루어린이공원,1,2,1,1.48,37.54271512851119,126.96848368272185,37.5552628,126.9741758,1623723707073
