poiName,count,rating,uniqueCars,avgDistance,poiLocationLat,poiLocationLon,latitudesOfSearcher,longitudesOfSearcher,clickTimes
경포해수욕장,23,25,2,172.91,37.806458501145244,128.90694547444582,"37.5175034,37.5175034,37.5175027,37.5553395,37.5553395,37.5583526,37.5583526,37.5583526,37.5584538,37.5584437,37.5584437,37.5175014,37.5553481,37.5553481,37.5553481,37.5553481,37.5553395,37.5553686,37.5583374,37.5584437,37.5584437,37.5553481,37.5553481","126.9291512,126.9291514,126.9291486,126.9741033,126.9741033,126.981474,126.981474,126.981474,126.9813353,126.9813374,126.9813374,126.9291453,126.9739107,126.9739107,126.9739107,126.9739107,126.9741033,126.9741102,126.9814922,126.9813374,126.9813374,126.9739107,126.9739107",1623115934393
부산역 KTX,23,27,4,318.06,35.115155121311545,129.04136513359845,"37.5552093,37.5362302,37.5182034,37.3755825,37.5369866,37.4772951,37.4729956,37.4654228,37.3495381,37.3407735,37.5553481,37.5552093,37.5224482,37.5174764,37.5346026,37.492471,37.4729956,37.4592214,37.4386248,37.431323,37.3479361,37.3447363,37.5553481","126.9738699,127.0054291,126.992169,127.1031196,127.0049141,127.0281966,127.0307565,127.0379433,127.1032697,127.1033314,126.9739107,126.9738699,127.0165737,126.929144,127.0067573,127.0225357,127.0307565,127.043808,127.0614916,127.0687663,127.10328,127.1033045,126.9739107",1623113495693
센텀그린타워  기타지역건물  ★ 4.5/5,21,22,1,326.49,35.17461558803916,129.12696867249906,"37.5174948,37.5174948,37.5174948,37.5174948,37.5174948,37.5174948,37.5174948,37.5174948,37.5174948,37.5174948,37.5174948,37.5174948,37.5174948,37.5174948,37.5174948,37.5174948,37.5174948,37.5174948,37.5174948,37.5174948,37.5174948","126.9291803,126.9291803,126.9291803,126.9291803,126.9291803,126.9291803,126.9291803,126.9291803,126.9291803,126.9291803,126.9291803,126.9291803,126.9291803,126.9291803,126.9291803,126.9291803,126.9291803,126.9291803,126.9291803,126.9291803,126.9291803",1623127246319
서울스퀘어,19,23,4,90.45,37.55557003431022,126.97375556454062,"35.1962681,35.17448,37.5174764,37.5179925,37.520844,37.2720602,37.5468879,37.5174764,35.17448,37.5240061,37.546858,37.546814,37.5468403,37.5468229,37.5174764,37.5174764,37.5174764,35.1383901,35.17448","129.11512,129.1270165,126.929144,126.9298712,126.9344756,127.044732,126.9721859,126.929144,129.1270165,126.9399612,126.9721924,126.9721812,126.9722672,126.9722115,126.929144,126.929144,126.929144,129.1073671,129.1270165",1623117522429
센텀그린타워,12,14,2,327.44,35.17461558803916,129.12696867249906,"37.5553481,37.5553481,37.5553481,37.555222,37.5545821,37.5553221,37.5559102,37.5553481,37.5545545,37.5546979,37.5546924,37.5546576","126.9739107,126.9739107,126.9739107,126.9739822,126.974018,126.9739543,126.9738417,126.9739107,126.9740306,126.9739392,126.973947,126.9739655",1623135685776
대전역 KTX,8,11,3,140.71,36.33231282234192,127.4341759365052,"37.5216675,37.5174764,37.5175015,37.5400614,37.5369866,37.5553481,37.5553481,37.5553481","126.9357983,126.929144,126.9291748,126.9010297,127.0049141,126.9739107,126.9739107,126.9739107",1623120190678
해운대해수욕장,5,6,1,330.62,35.15840389765799,129.15947738103569,"37.555151,37.555151,37.555151,37.555151,37.555151","126.973997,126.973997,126.973997,126.973997,126.973997",1623127381547
한남현대힐스테이트,5,6,1,2.22,37.52833069302142,127.00378281064332,"37.5185939,37.5551415,37.5174491,37.5174458,37.5174459","127.0187451,126.9740344,127.0190765,127.0190766,127.0190847",1623114719136
천안역,5,7,2,84.3,36.80955349467695,127.14705149643123,"37.5551472,37.5544306,37.5551111,37.555151,37.5553481","126.9739612,126.9738499,126.9740011,126.973997,126.9739107",1623126612064
해운대 서비스센터,4,5,1,0.37,35.17573490738869,129.13127093575895,"35.17448,35.17448,35.1746383,35.17448","129.1270165,129.1270165,129.1289509,129.1270165",1623142565986
오산역,4,5,1,46.37,37.14473281055689,127.06664473749697,"37.5552093,37.5552093,37.5551886,37.5552093","126.9738699,126.9738699,126.9738956,126.9738699",1623113273579
서울숲,4,5,1,10.16,37.54380100406706,127.03944898210466,"37.5175074,37.5175074,37.5175074,37.5175074","126.9291554,126.9291554,126.9291554,126.9291554",1623136786072
롯데월드,4,5,1,15.61,37.51109833829105,127.09817972034216,"37.5174764,37.5174764,37.5174764,37.5404714","126.929144,126.929144,126.929144,126.9013489",1623132399599
스타필드하남,3,5,2,24.79,37.5454137660563,127.22369058988988,"37.5174764,37.5174764,37.5553481","126.929144,126.929144,126.9739107",1623133800639
일동터널,2,3,1,39.19,37.950678281486034,127.26932217366993,"37.5279436,37.7491451","127.0032883,127.1220892",1623116888821
임진각,2,3,1,42.61,37.891123266890645,126.74054687842727,"37.5553481,37.5553481","126.9739107,126.9739107",1623146148902
조박사감자탕,2,3,1,13.65,37.849796963855624,127.16306403279305,"37.9589165,37.9463922","127.2600908,127.2352767",1623121926255
인천국제공항제1여객터미널,2,3,1,42.59,37.449423875659704,126.4508200250566,"37.5257148,37.5394856","126.9432082,126.9005828",1623120285446
서울스퀘어주차장,2,4,2,4.09,37.55563449114561,126.97389931418002,"37.5400479,37.5616329","127.0535723,126.9814213",1623128676153
연천초등학교,2,3,1,0.69,35.185987735167146,129.10023333504796,"35.178024,35.1854904","129.1073047,129.1033513",1623119837944
