poiName,count,rating,uniqueCars,avgDistance,minDistance,maxDistance,latitude,longitude,latitudesOfSearcher,longitudesOfSearcher,clickTimes
서울법원서울중앙지방법원,4,5,1,7.61,7.49,7.65,37.49604662,127.0115355,"37.5174764,37.5174764,37.5174764,37.5568488","126.929144,126.929144,126.929144,126.9750679","1,623,228,833,130,160,000,000,000,000,000,000,000,000,000,000,000,000"
구미역,4,5,1,198.41,197.96,198.55,36.12835748,128.3308437,"37.5174764,37.5174764,37.5174764,37.5159901","126.929144,126.929144,126.929144,126.9374092","1,623,373,507,530,160,000,000,000,000,000,000,000,000,000,000,000,000"
롯데프리미엄아울렛 파주점,4,5,1,30.55,30.55,30.55,37.71845832,126.6926221,"37.5174764,37.5174764,37.5174764,37.5174764","126.929144,126.929144,126.929144,126.929144","1,623,225,685,358,160,000,000,000,000,000,000,000,000,000,000,000,000"
동인천역 서울1호선 5번출구,2,4,2,32.26,19.93,44.59,37.47493068,126.6313655,"37.5590734,37.3326853","126.8308692,127.1033858","16,232,085,119,891,600,000,000,000"
구로역 서울1호선,3,4,1,10.22,10.21,10.23,37.50310284,126.8820082,"37.5546467,37.5538333,37.5538333","126.9777833,126.9787349,126.9787349","162,304,648,515,016,000,000,000,000,000,000,000,000"
북악산,3,4,1,4.68,1.99,7.89,37.59311752,126.9735632,"37.5756047,37.5557058,37.526165","126.9690586,126.9727491,126.9440625","162,304,684,861,616,000,000,000,000,000,000,000,000"
63빌딩,3,4,1,28.99,28.98,28.99,37.51982843,126.9402521,"37.3811951,37.381229,37.3811795","126.6620982,126.6622391,126.6621546","162,321,887,132,316,000,000,000,000,000,000,000,000"
Seoul Station KTX,3,4,1,5.5,5.5,5.5,37.55443144,126.9706791,"37.5174779,37.5174779,37.5174779","126.9291776,126.9291776,126.9291776","162,339,262,237,716,000,000,000,000,000,000,000,000"
Noodles Tree Restaurant Unseo Neopdi Branch,3,4,1,2.64,2.61,2.66,37.48324712,126.5107146,"37.4936143,37.4932155,37.4936143","126.4835493,126.483915,126.4835493","162,320,872,712,516,000,000,000,000,000,000,000,000"
강남대로 전시장 - 서비스센터,2,3,1,6740.67,299.49,13181.85,37.48873089,127.0324779,",35.4374382",",129.2030412","16,233,018,964,061,600,000,000,000"
,2,3,1,0.41,0.35,0.46,35.20712891,129.0884523,"35.203326,35.2037023","129.090473,129.0896167","16,232,255,545,091,600,000,000,000"
서울동호초등학교,2,3,1,8.66,4.07,13.25,37.54641239,127.0102051,"37.6130968,37.5748858","127.1347652,127.0391345","16,232,930,917,381,600,000,000,000"
목동역 서울5호선,2,3,1,8.07,8.01,8.14,37.52611494,126.8648139,"37.54712,37.5457247","126.9532011,126.9522236","16,232,190,302,261,600,000,000,000"
롯데월드타워,2,3,1,9.57,6.84,12.29,37.5125733,127.1025668,"37.5272777,37.5553515","127.0272299,126.9740703","16,231,242,516,771,600,000,000,000"
동서울TG,2,3,1,12.34,2.47,22.22,37.51729223,127.2214769,"37.497655,37.5553222","127.2344795,126.9740977","16,232,908,774,421,600,000,000,000"
LH광교호수마을휴먼시아32단지아파트,2,3,1,1.22,0.63,1.81,37.29409061,127.0660022,"37.2996245,37.2815947","127.0674847,127.0528077","16,231,212,405,341,600,000,000,000"
더신촌S덮죽,2,3,1,86.92,75.03,98.81,36.03871043,129.3672006,"35.1699846,35.3707582","129.1374566,129.2491977","16,231,178,948,011,600,000,000,000"
남영역 서울1호선 1번출구,2,3,1,7.04,7.04,7.04,37.54167502,126.9713845,"37.5673471,37.5673471","126.8984248,126.8984248","16,232,903,666,971,600,000,000,000"
낙산해수욕장,2,3,1,163.99,163.99,163.99,38.11539676,128.6358169,"37.5175074,37.5175074","126.9291554,126.9291554","16,230,311,162,221,600,000,000,000"
금정 전시장 - 서비스센터 - 인증 중고차 전시장,2,3,1,12.48,11.75,13.22,35.25512293,129.0916899,"35.1512113,35.1374134","129.115245,129.1119013","16,231,374,334,271,600,000,000,000"
Noodles Tree Restaurant Unseo Sindosi Branch,2,3,1,0.48,0.48,0.48,37.49266502,126.4888492,"37.4936143,37.4936143","126.4835493,126.4835493","16,232,087,033,181,600,000,000,000"
경주시청,2,3,1,77.97,76.32,79.62,35.85621972,129.2247484,"35.1744785,35.1583018","129.1270202,129.0282512","16,233,074,502,451,600,000,000,000"
Seoul Square,2,3,1,1.44,0.73,2.14,37.55557003,126.9737556,"37.5364337,37.5491582","126.9764843,126.9719531","16,230,487,011,431,600,000,000,000"
Yujeong Jip,2,3,1,21.99,1.75,42.23,37.49621266,126.5008242,"37.4826958,37.5560841","126.5108887,126.9737632","16,232,108,024,531,600,000,000,000"
drag.nuggets.grant,1,2,1,5.46,5.46,5.46,37.50680496,126.984825,37.5551568,126.9739222,1.62E+12
부경대학교대연캠퍼스장영실관주차장,1,2,1,329.12,329.12,329.12,35.13462679,129.1089119,37.5174722,126.9291611,1.62E+12
봉하마을공영주차장,1,2,1,296.56,296.56,296.56,35.31349157,128.7702201,37.5551988,126.9739564,1.62E+12
벤츠상용차서비스센터 전주서비스센터 벤츠서비스센터  ★ 4.5/5,1,2,1,188.95,188.95,188.95,35.82376063,127.0320799,37.5220633,126.9599389,1.62E+12
벤츠 삼성전시장,1,2,1,1.58,1.58,1.58,37.50455283,127.0661816,37.5181398,127.0712314,1.62E+12
버거킹 부산센텀시티점,1,2,1,0.49,0.49,0.49,35.17190924,129.1314366,35.17448,129.1270165,1.62E+12
배떡 홍제점,1,2,1,4.2,4.2,4.2,37.58588696,126.9461538,37.5552284,126.9740393,1.62E+12
바루스프로젝트,1,2,1,4.53,4.53,4.53,37.57235362,126.982443,37.553063,126.9371931,1.62E+12
문화비축기지주차장,1,2,1,7.17,7.17,7.17,37.5695057,126.8947843,37.5553395,126.9741033,1.62E+12
부산 북구 전시장 - 서비스센터,1,2,1,11.98,11.98,11.98,35.21549187,129.0050659,35.17448,129.1270165,1.62E+12
문경새재도립공원,1,2,1,59.62,59.62,59.62,36.76387581,128.0765879,37.1868725,128.4890624,1.62E+12
몰운대,1,2,1,17.46,17.46,17.46,35.0378293,128.9706179,35.1804597,129.0509796,1.62E+12
"경기, 화성시, 병점동",1,2,1,42.68,42.68,42.68,37.20181709,127.0280585,37.5710061,127.1603347,1.62E+12
명륜진사갈비 대구테크노폴리스점,1,2,1,0.14,0.14,0.14,35.69264696,128.455896,35.6917922,128.4570599,1.62E+12
맥도날드 당감DT점,1,2,1,1.27,1.27,1.27,35.16572071,129.0395026,35.1570166,129.0485254,1.62E+12
마곡역 서울5호선,1,2,1,0.51,0.51,0.51,37.559879,126.8251743,37.5587623,126.8308128,1.62E+12
삼성 서비스센터,1,2,1,319.66,319.66,319.66,37.51015889,127.0459819,35.17448,129.1270165,1.62E+12
가보자,1,2,1,12.52,12.52,12.52,35.09984742,129.0241418,35.1746638,129.1269777,1.62E+12
